target,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
1.0,1.0,0.0,1.0,5.0,0.0,6.0,0.0,2.0,0.24,0.2576,0.75,0.0896
6.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.94,0.19399999999999998
3.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.94,0.19399999999999998
2.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,0.42,0.4242,0.77,0.2985
1.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.4,0.4091,0.76,0.19399999999999998
22.0,1.0,0.0,1.0,20.0,0.0,0.0,0.0,1.0,0.3,0.2727,0.39,0.3582
31.0,1.0,0.0,1.0,21.0,0.0,0.0,0.0,1.0,0.26,0.2273,0.44,0.3284
8.0,1.0,0.0,1.0,23.0,0.0,0.0,0.0,1.0,0.22,0.2273,0.47,0.1642
20.0,1.0,0.0,1.0,22.0,0.0,1.0,1.0,1.0,0.14,0.1515,0.69,0.1343
48.0,1.0,0.0,1.0,21.0,0.0,2.0,1.0,1.0,0.22,0.2727,0.64,0.0
35.0,1.0,0.0,1.0,22.0,0.0,2.0,1.0,1.0,0.22,0.2576,0.64,0.0896
169.0,1.0,0.0,1.0,18.0,0.0,3.0,1.0,1.0,0.24,0.2424,0.38,0.1343
132.0,1.0,0.0,1.0,19.0,0.0,3.0,1.0,1.0,0.24,0.2576,0.38,0.1045
42.0,1.0,0.0,1.0,22.0,0.0,3.0,1.0,1.0,0.18,0.19699999999999998,0.55,0.1343
95.0,1.0,0.0,1.0,7.0,0.0,4.0,1.0,2.0,0.16,0.2273,0.59,0.0
122.0,1.0,0.0,1.0,9.0,0.0,4.0,1.0,2.0,0.18,0.2424,0.51,0.0
62.0,1.0,0.0,1.0,15.0,0.0,4.0,1.0,1.0,0.28,0.2727,0.36,0.0
172.0,1.0,0.0,1.0,17.0,0.0,4.0,1.0,1.0,0.22,0.2273,0.51,0.1642
69.0,1.0,0.0,1.0,20.0,0.0,4.0,1.0,1.0,0.2,0.2121,0.51,0.1642
52.0,1.0,0.0,1.0,22.0,0.0,4.0,1.0,2.0,0.22,0.2121,0.51,0.2836
1.0,1.0,0.0,1.0,2.0,0.0,5.0,1.0,2.0,0.2,0.19699999999999998,0.69,0.2239
1.0,1.0,0.0,1.0,4.0,0.0,5.0,1.0,2.0,0.2,0.2121,0.69,0.1343
50.0,1.0,0.0,1.0,14.0,0.0,5.0,1.0,2.0,0.2,0.19699999999999998,0.4,0.2537
123.0,1.0,0.0,1.0,18.0,0.0,5.0,1.0,1.0,0.2,0.2273,0.4,0.0896
95.0,1.0,0.0,1.0,19.0,0.0,5.0,1.0,1.0,0.16,0.19699999999999998,0.55,0.0896
36.0,1.0,0.0,1.0,22.0,0.0,5.0,1.0,2.0,0.18,0.19699999999999998,0.43,0.1642
15.0,1.0,0.0,1.0,23.0,0.0,5.0,1.0,2.0,0.18,0.19699999999999998,0.51,0.1642
25.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,0.18,0.19699999999999998,0.51,0.1642
16.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0,0.18,0.2121,0.55,0.0896
1.0,1.0,0.0,1.0,4.0,0.0,6.0,0.0,3.0,0.18,0.19699999999999998,0.55,0.1642
2.0,1.0,0.0,1.0,6.0,0.0,6.0,0.0,2.0,0.16,0.1667,0.74,0.1642
62.0,1.0,0.0,1.0,11.0,0.0,6.0,0.0,2.0,0.2,0.1818,0.69,0.3881
95.0,1.0,0.0,1.0,14.0,0.0,6.0,0.0,1.0,0.2,0.1667,0.32,0.4925
74.0,1.0,0.0,1.0,15.0,0.0,6.0,0.0,1.0,0.2,0.1667,0.32,0.4478
25.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0758,0.42,0.3881
11.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.1,0.0606,0.46,0.4627
19.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.12,0.0758,0.46,0.5224
49.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.16,0.1212,0.4,0.5224
92.0,1.0,0.0,1.0,16.0,0.0,0.0,0.0,1.0,0.2,0.1667,0.34,0.4478
48.0,1.0,0.0,1.0,18.0,0.0,0.0,0.0,1.0,0.16,0.1364,0.4,0.3284
41.0,1.0,0.0,1.0,19.0,0.0,0.0,0.0,1.0,0.16,0.1364,0.43,0.3284
1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.12,0.1212,0.5,0.2836
3.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,0.1,0.1212,0.54,0.1343
3.0,1.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,0.1,0.1061,0.54,0.2537
94.0,1.0,0.0,1.0,9.0,0.0,1.0,1.0,2.0,0.14,0.1212,0.5,0.2537
30.0,1.0,0.0,1.0,11.0,0.0,1.0,1.0,2.0,0.16,0.1364,0.47,0.2836
178.0,1.0,0.0,1.0,17.0,0.0,1.0,1.0,1.0,0.2,0.2273,0.4,0.1045
38.0,1.0,0.0,1.0,21.0,0.0,1.0,1.0,1.0,0.14,0.1364,0.59,0.19399999999999998
18.0,1.0,0.0,1.0,23.0,0.0,1.0,1.0,1.0,0.14,0.1515,0.59,0.1642
3.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.14,0.1515,0.59,0.1642
6.0,1.0,0.0,1.0,5.0,0.0,2.0,1.0,2.0,0.16,0.1818,0.55,0.1343
217.0,1.0,0.0,1.0,8.0,0.0,2.0,1.0,2.0,0.18,0.2121,0.51,0.0896
130.0,1.0,0.0,1.0,9.0,0.0,2.0,1.0,2.0,0.18,0.19699999999999998,0.51,0.1642
57.0,1.0,0.0,1.0,12.0,0.0,2.0,1.0,2.0,0.2,0.2273,0.51,0.1045
52.0,1.0,0.0,1.0,13.0,0.0,2.0,1.0,2.0,0.2,0.2273,0.59,0.0896
76.0,1.0,0.0,1.0,16.0,0.0,2.0,1.0,2.0,0.16,0.1515,0.86,0.2239
136.0,1.0,0.0,1.0,17.0,0.0,2.0,1.0,2.0,0.16,0.1515,0.86,0.2239
51.0,1.0,0.0,1.0,19.0,0.0,2.0,1.0,3.0,0.16,0.2273,0.93,0.0
20.0,1.0,0.0,1.0,21.0,0.0,2.0,1.0,3.0,0.16,0.19699999999999998,0.86,0.0896
6.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,0.16,0.1818,0.86,0.1045
5.0,1.0,0.0,1.0,5.0,0.0,3.0,1.0,1.0,0.14,0.1515,0.86,0.1642
44.0,1.0,0.0,1.0,14.0,0.0,3.0,1.0,1.0,0.2,0.1818,0.47,0.3284
68.0,1.0,0.0,1.0,16.0,0.0,3.0,1.0,1.0,0.22,0.19699999999999998,0.44,0.3284
139.0,1.0,0.0,1.0,17.0,0.0,3.0,1.0,1.0,0.2,0.1818,0.47,0.3582
137.0,1.0,0.0,1.0,18.0,0.0,3.0,1.0,1.0,0.2,0.1515,0.47,0.5224
57.0,1.0,0.0,1.0,21.0,0.0,3.0,1.0,1.0,0.16,0.1364,0.55,0.3284
3.0,1.0,0.0,1.0,5.0,0.0,4.0,1.0,1.0,0.14,0.1212,0.5,0.2985
28.0,1.0,0.0,1.0,6.0,0.0,4.0,1.0,1.0,0.12,0.1515,0.54,0.1343
38.0,1.0,0.0,1.0,10.0,0.0,4.0,1.0,2.0,0.16,0.1364,0.5,0.3582
